original_id,mapped_id
P00720,P00720
P00669,P00669
P01112,P01112
P00918,P00918
P61626,P61626
P07378,P07378
P06492,P06492
P69905,P69905
P68871,P68871
P01100,P01100
Q63450,Q63450
P12931,P12931
P00735,P00735
P56638,P56638
P07363,P07363
P0A8P8,P0A8P8
P19632,P19632
P48061,P48061
P53041,P53041
P11540,P11540
P01889,P01889
P61769,P61769
P26663,P26663
P27958,P27958
P10912,P10912
